right,512,486,532
right,514,488,536
right,516,492,542
right,514,494,546
right,512,494,550
right,509,492,552
right,502,488,558
right,494,484,562
right,487,484,570
right,483,484,574
right,483,484,576
right,485,484,572
right,487,486,568
right,488,486,566
right,489,488,568
right,491,492,570
right,492,492,572
right,491,494,572
right,489,494,572
right,486,494,574
right,484,494,572
right,482,492,570
right,481,490,572
right,481,490,576
right,480,490,578
right,480,488,578
right,481,490,576
right,481,492,574
right,479,498,578
right,477,498,576
right,483,500,578
right,486,500,574
right,484,500,574
right,479,504,572
right,476,504,572
right,476,506,570
right,476,506,570
right,474,506,566
right,473,504,564
right,472,504,558
right,468,502,552
right,463,498,550
right,460,496,552
right,460,496,554
right,463,498,556
right,467,498,556
right,471,500,558
right,474,498,556
right,478,498,552
right,483,498,548
right,488,498,546
right,490,498,548
right,490,498,552
right,490,498,560
right,487,496,566
right,483,492,572
right,483,490,574
right,485,492,576
right,485,490,576
right,484,490,574
right,481,486,570
right,478,484,566
right,477,480,566
right,479,476,568
right,483,474,574
right,489,470,580
right,494,468,584
right,497,466,588
right,498,462,592
right,497,458,598
right,497,456,604
right,498,454,610
right,500,454,616
right,501,454,620
right,503,454,624
right,505,456,628
right,509,458,630
right,513,462,628
right,518,464,624
right,526,466,622
right,536,464,622
right,545,462,622
right,555,460,620
right,564,456,620
right,569,452,618
right,573,450,618
right,573,448,616
right,573,448,618
right,573,446,616
right,572,446,618
right,572,446,616
right,572,448,616
right,571,448,614
right,571,446,614
right,574,446,616
right,581,448,616
right,590,452,616
right,602,456,614
right,612,456,608
right,623,458,604
right,634,458,600
right,640,460,602
right,644,462,602
right,646,462,602
right,647,460,602
right,646,460,602
right,644,456,602
right,640,454,602
right,636,450,606
right,629,442,610
right,621,434,618
right,614,428,624
right,607,422,632
right,601,420,632
right,595,422,628
right,592,426,616
right,590,432,606
right,592,438,592
right,596,446,582
right,604,456,572
right,611,464,564
right,617,472,562
right,623,478,564
right,629,484,568
right,634,486,572
right,636,490,578
right,636,492,582
right,634,494,586
right,631,496,588
right,628,496,586
right,624,498,582
right,618,498,582
right,613,498,580
right,608,498,582
right,603,498,584
right,598,496,584
right,595,498,582
right,597,500,578
right,597,502,574
right,595,502,574
right,591,510,566
right,592,512,560
right,594,512,556
right,595,514,554
right,595,518,552
right,595,520,554
right,593,524,554
right,588,526,554
right,581,526,562
right,570,522,570
right,560,520,578
right,548,518,582
right,537,518,586
right,528,516,590
right,523,516,594
right,522,518,600
right,523,518,604
right,525,520,610
right,527,520,612
right,528,522,614
right,527,520,618
right,524,520,620
right,521,522,624
right,518,522,626
right,517,522,628
right,516,524,628
right,517,526,626
right,515,526,626
right,512,526,632
right,511,524,642
right,510,522,656
right,506,520,674
right,498,516,694
right,489,512,708
right,482,512,718
right,478,510,720
right,477,510,716
right,476,510,712
right,479,512,708
right,477,510,702
right,479,510,696
right,487,512,692
right,491,516,688
right,497,518,682
right,505,520,676
right,510,524,664
right,508,524,658
right,510,522,654
right,511,522,652
right,514,528,656
