timestamp,time_passed,is_keyboard,event,operator,task_id,repetition
1465418991.53787,1.43051147460938E-05,False,Mouse Moved,P,1,1
1465418991.89003,0.352152586,False,1,B,1,1
1465418992.19219,0.3021583557,False,1,B,1,1
1465418992.51347,0.3212833405,False,1,B,1,1
1465418992.82452,0.3110451698,False,1,B,1,1
1465418993.13662,0.3120970726,False,1,B,1,1
1465418993.44884,0.3122270107,False,1,B,1,1
1465418993.75128,0.3024353981,False,1,B,1,1
1465418994.10306,0.3517796993,False,1,B,1,1
1465418994.41535,0.3122866154,False,1,B,1,1
1465418994.72739,0.3120388985,False,1,B,1,1
1465418995.05369,0.3262960911,False,1,B,1,1
1465418995.38188,0.3281960487,False,1,B,1,1
1465418995.73402,0.3521409035,False,1,B,1,1
1465418996.10023,0.3662064075,False,1,B,1,1
1465418996.4345,0.3342638016,False,1,B,1,1
1465418996.78659,0.3520920277,False,1,B,1,1
1465418997.1306,0.3440084457,False,1,B,1,1
1465418997.48893,0.3583295345,False,1,B,1,1
1465418997.84157,0.3526408672,False,1,B,1,1
1465419079.22771,1.19209289550781E-05,False,Mouse Moved,P,1,2
1465419079.40344,0.1757214069,False,1,B,1,2
1465419079.59366,0.1902205944,False,1,B,1,2
1465419079.79382,0.2001533508,False,1,B,1,2
1465419080.02599,0.2321746349,False,1,B,1,2
1465419080.23997,0.2139782906,False,1,B,1,2
1465419080.44801,0.2080414295,False,1,B,1,2
1465419080.68022,0.2322070599,False,1,B,1,2
1465419080.89431,0.2140889168,False,1,B,1,2
1465419081.11019,0.2158749104,False,1,B,1,2
1465419081.33448,0.2242882252,False,1,B,1,2
1465419081.53465,0.2001781464,False,1,B,1,2
1465419081.74267,0.2080109119,False,1,B,1,2
1465419081.95681,0.2141373158,False,1,B,1,2
1465419082.14906,0.1922547817,False,1,B,1,2
1465419082.36508,0.2160129547,False,1,B,1,2
1465419082.58917,0.2240908146,False,1,B,1,2
1465419082.80315,0.2139804363,False,1,B,1,2
1465419083.04335,0.2402038574,False,1,B,1,2
1465419083.25948,0.2161231041,False,1,B,1,2
1465419083.48963,0.2301518917,False,1,B,1,2
1465419083.71373,0.2240982056,False,1,B,1,2
1465419083.93776,0.2240250111,False,1,B,1,2
1465419120.54632,1.23977661132813E-05,False,Mouse Moved,P,1,3
1465419120.76211,0.2157840729,False,1,B,1,3
1465419120.99428,0.232178688,False,1,B,1,3
1465419121.21015,0.2158596516,False,1,B,1,3
1465419121.43255,0.2223987579,False,1,B,1,3
1465419121.66461,0.232060194,False,1,B,1,3
1465419121.89719,0.2325770855,False,1,B,1,3
1465419122.12085,0.22366786,False,1,B,1,3
1465419122.34309,0.2222387791,False,1,B,1,3
1465419122.57512,0.2320232391,False,1,B,1,3
1465419122.80508,0.2299566269,False,1,B,1,3
1465419123.02925,0.2241690159,False,1,B,1,3
1465419123.23766,0.2084081173,False,1,B,1,3
1465419123.47744,0.2397842407,False,1,B,1,3
1465419123.69353,0.2160844803,False,1,B,1,3
1465419123.9157,0.222173214,False,1,B,1,3
1465419124.1559,0.2402019501,False,1,B,1,3
1465419124.39388,0.2379772663,False,1,B,1,3
1465419124.6499,0.256016016,False,1,B,1,3
1465419124.89624,0.2463383675,False,1,B,1,3
1465419158.00475,1.26361846923828E-05,False,Mouse Moved,P,1,4
1465419158.2368,0.232047081,False,1,B,1,4
1465419158.48289,0.246086359,False,1,B,1,4
1465419158.71507,0.2321817875,False,1,B,1,4
1465419158.95544,0.2403616905,False,1,B,1,4
1465419159.20141,0.2459700108,False,1,B,1,4
1465419159.44136,0.2399456501,False,1,B,1,4
1465419159.68141,0.2400512695,False,1,B,1,4
1465419159.90552,0.2241091728,False,1,B,1,4
1465419160.13566,0.2301361561,False,1,B,1,4
1465419160.38383,0.2481763363,False,1,B,1,4
1465419160.63207,0.2482326031,False,1,B,1,4
1465419160.86411,0.2320382595,False,1,B,1,4
1465419161.08034,0.2162303925,False,1,B,1,4
1465419161.31832,0.2379803658,False,1,B,1,4
1465419161.55843,0.2401101589,False,1,B,1,4
1465419161.7826,0.2241647243,False,1,B,1,4
1465419162.00702,0.2244434357,False,1,B,1,4
1465419162.23678,0.229739666,False,1,B,1,4
1465419162.46071,0.2239234447,False,1,B,1,4
1465419210.52498,1.16825103759766E-05,False,Mouse Moved,P,1,5
1465419210.6688,0.1438221931,False,1,B,1,5
1465419210.85313,0.1843204498,False,1,B,1,5
1465419211.02107,0.1679475307,False,1,B,1,5
1465419211.19715,0.1760752201,False,1,B,1,5
1465419211.38114,0.1839900017,False,1,B,1,5
