pid,chords,event_type,value,start_time,time_passed,wpm
4,TRUE,key_pressed,16777219,1464639714.11114,0,38.9658080606
4,TRUE,key_pressed,16777219,1464639714.11241,0,38.4298559586
4,TRUE,key_pressed,16777219,1464639714.11354,0,37.8941971455
4,TRUE,key_pressed,16777219,1464639714.11466,0,37.358618493
4,TRUE,key_pressed,16777219,1464639714.11595,0,36.8228069081
4,TRUE,key_pressed,16777219,1464639714.11709,0,36.2873108486
4,TRUE,key_pressed,16777219,1464639714.11858,0,35.7512984178
4,TRUE,key_pressed,0,1464639714.11988,0,35.2156719185
4,TRUE,key_pressed,16777219,1464639714.85028,0,41.3429713187
4,TRUE,key_pressed,16777219,1464639714.85247,0,40.8223254928
4,TRUE,key_pressed,16777219,1464639714.85374,0,40.3033970495
4,TRUE,key_pressed,16777219,1464639714.85538,0,39.7838735953
4,TRUE,key_pressed,16777219,1464639714.85663,0,39.2650789521
4,TRUE,key_pressed,16777219,1464639714.85808,0,38.746023383
4,TRUE,key_pressed,16777219,1464639714.85928,0,38.2274376676
4,TRUE,key_pressed,16777219,1464639714.86056,0,37.7087661284
4,TRUE,key_pressed,16777219,1464639714.86178,0,37.1902507789
4,TRUE,key_pressed,16777219,1464639714.86292,0,36.671918695
4,TRUE,key_pressed,16777219,1464639714.86421,0,36.1534078702
4,TRUE,key_pressed,16777219,1464639714.86559,0,35.6348101182
4,TRUE,key_pressed,16777219,1464639714.8668,0,35.1165374613
4,TRUE,key_pressed,16777219,1464639714.86814,0,34.5981248878
4,TRUE,key_pressed,0,1464639714.86927,0,34.0800880982
4,TRUE,key_pressed,0,1464639715.84988,0,40.6275968612
4,TRUE,word finished,Funktionalitäten,1464639714.86943,0.9809985161,41.1221275554
4,TRUE,key_pressed,65,1464639715.93044,0,40.9867137967
4,TRUE,key_pressed,76,1464639716.02711,0,41.316167982
4,TRUE,key_pressed,83,1464639716.19594,0,41.5207064356
4,TRUE,key_pressed,0,1464639716.26656,0,41.8887623926
4,TRUE,word finished,als,1464639715.93124,0.3364789486,42.373849735
4,TRUE,key_pressed,69,1464639716.33932,0,42.251049748
4,TRUE,key_pressed,73,1464639716.43504,0,42.57179477
4,TRUE,key_pressed,78,1464639716.64312,0,42.6973893296
4,TRUE,key_pressed,0,1464639720.03642,0,38.0194251188
4,TRUE,word finished,ein,1464639716.33974,3.6977782249,38.4403780934
4,TRUE,key_pressed,72,1464639720.24485,0,38.1618467982
4,TRUE,key_pressed,69,1464639720.62037,0,38.0814633693
4,TRUE,key_pressed,82,1464639720.71728,0,38.3671309185
4,TRUE,key_pressed,75,1464639720.85332,0,38.5991548378
4,TRUE,key_pressed,76,1464639721.03664,0,38.7666050402
4,TRUE,key_pressed,16777219,1464639721.68479,0,38.3298540184
4,TRUE,key_pressed,196,1464639722.28578,0,37.1869816267
4,TRUE,key_pressed,16777219,1464639722.90198,0,36.8379591895
4,TRUE,key_pressed,214,1464639723.16603,0,36.1489983233
4,TRUE,key_pressed,77,1464639723.49434,0,36.1531327387
4,TRUE,key_pressed,77,1464639723.64671,0,36.3558904874
4,TRUE,key_pressed,76,1464639723.84696,0,36.502386593
4,TRUE,key_pressed,73,1464639723.87097,0,36.8473962091
4,TRUE,key_pressed,67,1464639723.99826,0,37.0732285945
4,TRUE,key_pressed,72,1464639724.08691,0,37.3416872994
4,TRUE,key_pressed,69,1464639724.19043,0,37.5915147414
4,TRUE,key_pressed,83,1464639724.27858,0,37.8575660272
4,TRUE,key_pressed,0,1464639724.57465,0,37.8815910196
4,TRUE,word finished,herkömmliches,1464639720.24585,4.330221653,38.2441797881
4,TRUE,key_pressed,16777248,1464639725.59168,0,37.1005118814
4,TRUE,key_pressed,77,1464639725.64738,0,37.0397644823
4,TRUE,key_pressed,79,1464639725.80724,0,37.2176296286
4,TRUE,key_pressed,16777219,1464639726.03951,0,37.315139657
4,TRUE,key_pressed,16777219,1464639726.04137,0,36.9644074186
4,TRUE,key_pressed,0,1464639726.04257,0,36.6144065173
4,TRUE,key_pressed,0,1464639727.42419,0,39.2241151354
