pid,chords,event_type,value,start_time,time_passed,wpm
2,TRUE,key_pressed,16777248,1464639306.59838,0,0
2,TRUE,key_pressed,69,1464639306.73972,0,0
2,TRUE,key_pressed,78,1464639306.86174,0,45.5614548048
2,TRUE,key_pressed,0,1464639307.13318,0,44.8748044649
2,TRUE,word finished,EN,1464639306.74022,0.3935365677,67.2401765938
2,TRUE,key_pressed,16777248,1464639312.13614,0,6.5008027038
2,TRUE,key_pressed,69,1464639312.41602,0,6.1880579351
2,TRUE,key_pressed,78,1464639312.58453,0,8.0184809339
2,TRUE,key_pressed,16777219,1464639312.89673,0,9.5262614511
2,TRUE,key_pressed,16777219,1464639312.89828,0,7.6191460009
2,TRUE,key_pressed,0,1464639312.89932,0,5.7134117979
2,TRUE,key_pressed,0,1464639314.82565,0,8.7513573534
2,TRUE,word finished,Ein,1464639312.8996,1.926820755,10.2089604448
2,TRUE,key_pressed,16777248,1464639315.65794,0,9.2719558428
2,TRUE,key_pressed,83,1464639315.79368,0,9.1350768933
2,TRUE,key_pressed,77,1464639315.96948,0,10.2442358661
2,TRUE,key_pressed,16777219,1464639316.2906,0,11.1429316775
2,TRUE,key_pressed,16777219,1464639316.29177,0,9.9036385678
2,TRUE,key_pressed,0,1464639316.29315,0,8.6644479199
2,TRUE,key_pressed,0,1464639319.55542,0,15.7443168826
2,TRUE,word finished,Smartphone,1464639316.29338,3.2625453472,16.6698013567
2,TRUE,key_pressed,73,1464639320.42052,0,15.6270797174
2,TRUE,key_pressed,83,1464639320.57249,0,16.3158559755
2,TRUE,key_pressed,16777219,1464639320.78059,0,16.9225872292
2,TRUE,key_pressed,16777219,1464639320.78266,0,16.0741069268
2,TRUE,key_pressed,0,1464639320.78488,0,15.2257163498
2,TRUE,key_pressed,0,1464639322.34946,0,15.9988811004
2,TRUE,word finished,ist,1464639320.7851,1.5652143955,16.759825142
2,TRUE,key_pressed,69,1464639324.5821,0,14.6799270708
2,TRUE,key_pressed,78,1464639324.64611,0,15.2927626051
2,TRUE,key_pressed,16777219,1464639324.87081,0,15.7614332215
2,TRUE,key_pressed,16777219,1464639324.87261,0,15.1032181969
2,TRUE,key_pressed,0,1464639324.87375,0,14.4456562242
2,TRUE,key_pressed,0,1464639325.49408,0,15.8766102056
2,TRUE,word finished,ein,1464639324.87393,0.6204605103,16.5114085709
2,TRUE,key_pressed,77,1464639328.08048,0,14.5237037835
2,TRUE,key_pressed,79,1464639328.23243,0,14.9763749527
2,TRUE,key_pressed,16777219,1464639328.38472,0,15.4224941954
2,TRUE,key_pressed,16777219,1464639328.3863,0,14.8706128664
2,TRUE,key_pressed,0,1464639328.38742,0,14.3191137693
2,TRUE,key_pressed,44,1464639330.19344,0,19.3260629739
2,TRUE,word finished,mobiltelefon,1464639328.38759,1.8067336082,19.8338974395
2,TRUE,key_pressed,0,1464639332.49028,0,18.0751340618
2,TRUE,key_pressed,68,1464639332.7146,0,18.3793681933
2,TRUE,key_pressed,82,1464639333.14682,0,18.5321435496
2,TRUE,key_pressed,16777219,1464639333.43493,0,18.7803420377
2,TRUE,key_pressed,16777219,1464639333.4367,0,18.3319790104
2,TRUE,key_pressed,0,1464639333.43836,0,17.8837519921
2,TRUE,key_pressed,16777219,1464639333.62789,0,19.0902325246
2,TRUE,key_pressed,16777219,1464639333.62925,0,18.6453335505
2,TRUE,key_pressed,16777219,1464639333.63065,0,18.2004521454
2,TRUE,key_pressed,0,1464639333.63213,0,17.7555104462
2,TRUE,key_pressed,16777219,1464639334.13168,0,18.7409293686
2,TRUE,key_pressed,16777219,1464639334.13375,0,18.3037177316
2,TRUE,key_pressed,16777219,1464639334.13504,0,17.8670753484
2,TRUE,key_pressed,0,1464639334.13644,0,17.4304100117
2,TRUE,key_pressed,0,1464639337.8206,0,16.5266788511
