pid,chords,event_type,value,start_time,time_passed,wpm
1,FALSE,key_pressed,16777248,1464638064.47292,0,0
1,FALSE,key_pressed,69,1464638064.57572,0,0
1,FALSE,key_pressed,73,1464638064.68892,0,55.5505683455
1,FALSE,key_pressed,78,1464638064.78488,0,76.9273592908
1,FALSE,key_pressed,16777248,1464638064.98532,0,70.2540275284
1,FALSE,key_pressed,0,1464638065.0006,0,68.220494213
1,FALSE,word finished,Ein,1464638064.57591,0.4255549908,90.8104526932
1,FALSE,key_pressed,83,1464638065.04887,0,83.3371658675
1,FALSE,key_pressed,77,1464638065.12293,0,92.3022617623
1,FALSE,key_pressed,65,1464638065.24093,0,93.7460266806
1,FALSE,key_pressed,82,1464638065.43159,0,87.6199194185
1,FALSE,key_pressed,84,1464638065.50436,0,93.0712851294
1,FALSE,key_pressed,80,1464638065.8412,0,78.9295663329
1,FALSE,key_pressed,72,1464638066.04117,0,76.5171238895
1,FALSE,key_pressed,79,1464638066.14548,0,78.919811698
1,FALSE,key_pressed,78,1464638066.23346,0,81.7920224649
1,FALSE,key_pressed,69,1464638066.29652,0,85.5442455274
1,FALSE,key_pressed,0,1464638066.56011,0,80.4902169128
1,FALSE,word finished,Smartphone,1464638065.04914,1.5114254951,86.2207166655
1,FALSE,key_pressed,73,1464638066.79281,0,77.589063666
1,FALSE,key_pressed,83,1464638066.93759,0,77.8999854513
1,FALSE,key_pressed,84,1464638067.04985,0,79.1631227262
1,FALSE,key_pressed,0,1464638067.23324,0,78.2512035844
1,FALSE,word finished,ist,1464638066.79303,0.4414227009,82.5621025361
1,FALSE,key_pressed,69,1464638067.28973,0,80.9420404832
1,FALSE,key_pressed,73,1464638067.37129,0,82.8045763289
1,FALSE,key_pressed,78,1464638067.44177,0,84.8805840365
1,FALSE,key_pressed,16777248,1464638067.66503,0,82.7034766723
1,FALSE,key_pressed,0,1464638067.6653,0,82.6964724492
1,FALSE,word finished,ein,1464638067.28995,0.3756093979,86.4483398861
1,FALSE,key_pressed,77,1464638067.76186,0,83.9169955076
1,FALSE,key_pressed,79,1464638067.89878,0,84.0658934433
1,FALSE,key_pressed,66,1464638068.52976,0,73.9487311853
1,FALSE,key_pressed,73,1464638068.7458,0,73.0182537425
1,FALSE,key_pressed,76,1464638068.82583,0,74.4325163667
1,FALSE,key_pressed,84,1464638069.05967,0,73.2541779151
1,FALSE,key_pressed,69,1464638069.21876,0,73.3270703655
1,FALSE,key_pressed,76,1464638069.33873,0,73.9852685988
1,FALSE,key_pressed,69,1464638069.53087,0,73.5472608039
1,FALSE,key_pressed,70,1464638069.70691,0,73.3662834896
1,FALSE,key_pressed,79,1464638069.8593,0,73.5184261449
1,FALSE,key_pressed,78,1464638069.86122,0,75.7192737963
1,FALSE,key_pressed,44,1464638070.36234,0,71.3139790294
1,FALSE,word finished,Mobiltelefon,1464638067.76214,2.6021137238,73.3277586183
1,FALSE,key_pressed,0,1464638070.6264,0,70.2038800566
1,FALSE,key_pressed,68,1464638070.67551,0,71.5827359876
1,FALSE,key_pressed,65,1464638070.73124,0,72.8627455343
1,FALSE,key_pressed,83,1464638070.78762,0,74.112519938
1,FALSE,key_pressed,0,1464638071.00318,0,73.5037248104
1,FALSE,word finished,das,1464638070.67574,0.3289089203,75.3243774991
1,FALSE,key_pressed,69,1464638071.16375,0,73.533210728
1,FALSE,key_pressed,82,1464638071.33214,0,73.4774841148
1,FALSE,key_pressed,72,1464638071.94773,0,69.0316512798
1,FALSE,key_pressed,69,1464638072.37219,0,66.8413951192
1,FALSE,key_pressed,66,1464638072.48467,0,67.4008083547
1,FALSE,key_pressed,76,1464638072.68464,0,67.2208012473
1,FALSE,key_pressed,73,1464638072.86823,0,67.180175995
1,FALSE,key_pressed,67,1464638072.98913,0,67.6354832665
1,FALSE,key_pressed,72,1464638073.06127,0,68.4646180653
1,FALSE,key_pressed,0,1464638073.33236,0,67.7241696862
1,FALSE,word finished,erheblich,1464638071.16414,2.1693658829,69.0697143674
1,FALSE,key_pressed,85,1464638073.50755,0,67.7392230729
1,FALSE,key_pressed,77,1464638073.68499,0,67.7370399399
1,FALSE,key_pressed,70,1464638074.22141,0,65.2406763077
1,FALSE,key_pressed,65,1464638074.86907,0,62.3305930422
1,FALSE,key_pressed,78,1464638075.02124,0,62.5690607566
1,FALSE,key_pressed,71,1464638075.12572,0,63.0818564627
1,FALSE,key_pressed,82,1464638076.39754,0,57.3601972521
1,FALSE,key_pressed,69,1464638076.50998,0,57.8213112312
1,FALSE,key_pressed,73,1464638076.73452,0,57.7411420638
1,FALSE,key_pressed,67,1464638077.03835,0,57.2999720966
1,FALSE,key_pressed,72,1464638077.11116,0,57.9193277546
1,FALSE,key_pressed,69,1464638077.42186,0,57.4563440096
1,FALSE,key_pressed,82,1464638077.49357,0,58.0615296673
1,FALSE,key_pressed,69,1464638077.60615,0,58.4775114338
1,FALSE,key_pressed,0,1464638077.90234,0,58.0813392274
1,FALSE,word finished,umfangreichere,1464638073.50773,4.3953416348,58.9716799705
1,FALSE,key_pressed,16777248,1464638078.2557,0,57.4628991308
1,FALSE,key_pressed,70,1464638078.54283,0,56.2902498379
1,FALSE,key_pressed,85,1464638078.82308,0,56.0271442078
1,FALSE,key_pressed,78,1464638079.00796,0,56.1401166447
1,FALSE,key_pressed,75,1464638079.13594,0,56.468507038
1,FALSE,key_pressed,84,1464638079.34393,0,56.4856579528
1,FALSE,key_pressed,73,1464638079.44697,0,56.8983543974
1,FALSE,key_pressed,79,1464638079.55247,0,57.2960641788
1,FALSE,key_pressed,78,1464638079.7306,0,57.413609675
1,FALSE,key_pressed,65,1464638080.09634,0,56.8376572271
1,FALSE,key_pressed,76,1464638080.32045,0,56.7910968918
1,FALSE,key_pressed,73,1464638081.08834,0,54.8886763548
1,FALSE,key_pressed,84,1464638081.41562,0,54.53669567
1,FALSE,key_pressed,196,1464638081.69663,0,54.3436336378
1,FALSE,key_pressed,84,1464638081.80886,0,54.6839949175
1,FALSE,key_pressed,69,1464638081.96125,0,54.8936574503
1,FALSE,key_pressed,78,1464638082.09743,0,55.1504043687
1,FALSE,key_pressed,0,1464638082.44887,0,54.7397434083
1,FALSE,word finished,Funktionalitäten,1464638078.54298,3.9072775841,55.403020926
1,FALSE,key_pressed,65,1464638082.80158,0,54.3410476921
1,FALSE,key_pressed,76,1464638082.94562,0,54.5669311698
1,FALSE,key_pressed,83,1464638083.07292,0,54.8386417741
1,FALSE,key_pressed,0,1464638083.37307,0,54.6026797703
1,FALSE,word finished,als,1464638082.80198,0.5722179413,55.2342913127
1,FALSE,key_pressed,69,1464638083.62469,0,54.511880938
1,FALSE,key_pressed,73,1464638083.76069,0,54.7496586386
1,FALSE,key_pressed,78,1464638083.88092,0,55.0287939381
1,FALSE,key_pressed,0,1464638084.57799,0,53.7177282906
1,FALSE,word finished,ein,1464638083.62483,0.9540913105,54.3120626917
1,FALSE,key_pressed,71,1464638084.92161,0,53.4018849169
1,FALSE,key_pressed,69,1464638085.03364,0,53.6945717098
1,FALSE,key_pressed,82,1464638085.10595,0,54.0879646736
1,FALSE,key_pressed,16777219,1464638086.0908,0,52.1789654481
1,FALSE,key_pressed,16777219,1464638086.23546,0,51.2807296889
1,FALSE,key_pressed,16777219,1464638086.74716,0,49.5639217086
1,FALSE,key_pressed,72,1464638087.38722,0,47.6557806308
1,FALSE,key_pressed,69,1464638087.59573,0,47.7450160845
1,FALSE,key_pressed,82,1464638087.65199,0,48.1468312549
1,FALSE,key_pressed,75,1464638088.17995,0,47.5807794113
1,FALSE,key_pressed,214,1464638088.48417,0,47.4776976267
1,FALSE,key_pressed,77,1464638088.64395,0,47.6603240705
1,FALSE,key_pressed,77,1464638088.79657,0,47.8545499698
1,FALSE,key_pressed,76,1464638088.98883,0,47.9688082737
1,FALSE,key_pressed,73,1464638089.14096,0,48.1594388862
1,FALSE,key_pressed,67,1464638089.261,0,48.4103161362
1,FALSE,key_pressed,72,1464638089.34194,0,48.7352879366
1,FALSE,key_pressed,69,1464638089.45265,0,48.9996730732
1,FALSE,key_pressed,83,1464638089.53971,0,49.3082242109
1,FALSE,key_pressed,0,1464638089.78843,0,49.2977978112
1,FALSE,word finished,herkömmliches,1464638087.38737,2.4018292427,49.7702926611
1,FALSE,key_pressed,16777248,1464638089.89339,0,49.5662985604
1,FALSE,key_pressed,77,1464638090.24531,0,48.8894832092
1,FALSE,key_pressed,79,1464638090.52536,0,48.8245640598
1,FALSE,key_pressed,66,1464638090.70148,0,48.9542252517
1,FALSE,key_pressed,73,1464638090.82951,0,49.1717145709
1,FALSE,key_pressed,76,1464638090.92498,0,49.4479121914
1,FALSE,key_pressed,84,1464638093.3584,0,45.6976548741
1,FALSE,key_pressed,69,1464638093.4859,0,45.9104456163
1,FALSE,key_pressed,76,1464638093.65363,0,46.0577947178
1,FALSE,key_pressed,69,1464638093.74174,0,46.3291305081
1,FALSE,key_pressed,70,1464638094.54316,0,45.4934520932
1,FALSE,key_pressed,79,1464638094.76838,0,45.5513445362
1,FALSE,key_pressed,78,1464638094.93585,0,45.694847993
1,FALSE,key_pressed,0,1464638095.27924,0,45.5750279119
1,FALSE,word finished,Mobiltelefon,1464638090.2457,5.0348935127,45.9625333272
1,FALSE,key_pressed,90,1464638095.63083,0,45.4458856206
1,FALSE,key_pressed,85,1464638095.68717,0,45.748302073
1,FALSE,key_pressed,82,1464638095.78311,0,45.9913829365
1,FALSE,key_pressed,0,1464638095.97507,0,46.0920589013
1,FALSE,word finished,zur,1464638095.63093,0.3447730541,46.472052962
1,FALSE,key_pressed,16777248,1464638096.63177,0,45.5239883285
1,FALSE,key_pressed,86,1464638096.79964,0,45.2875830727
1,FALSE,key_pressed,69,1464638097.02417,0,45.3438406438
1,FALSE,key_pressed,82,1464638097.08884,0,45.6218608467
1,FALSE,key_pressed,70,1464638097.39265,0,45.5651841695
1,FALSE,key_pressed,220,1464638097.71237,0,45.4880856639
1,FALSE,key_pressed,71,1464638098.06605,0,45.3663811695
1,FALSE,key_pressed,85,1464638098.17741,0,45.5725284372
1,FALSE,key_pressed,78,1464638098.25757,0,45.8195875578
1,FALSE,key_pressed,71,1464638098.43271,0,45.9366472593
1,FALSE,key_pressed,0,1464638098.66501,0,45.9755066485
1,FALSE,word finished,Verfügung,1464638096.79982,1.8663585186,46.3248909645
1,FALSE,key_pressed,83,1464638098.7858,0,46.1633939391
1,FALSE,key_pressed,84,1464638098.92971,0,46.3188554052
1,FALSE,key_pressed,69,1464638099.09897,0,46.4389936237
1,FALSE,key_pressed,76,1464638099.10139,0,46.7822918077
1,FALSE,key_pressed,76,1464638099.21012,0,46.9812989546
1,FALSE,key_pressed,84,1464638099.34515,0,47.1434970897
1,FALSE,key_pressed,46,1464638099.67437,0,47.0434837087
1,FALSE,word finished,stellt,1464638098.78609,0.8900594711,47.3819819115
1,FALSE,key_pressed,16777220,1464638099.97761,0,46.9796761587
1,FALSE,sentence_finished,"Ein Smartphone ist ein Mobiltelefon das erheblich umfangreichere Funktionalitäten als ein herkömmliches Mobiltelefon zur Verfügung stellt.",1464638064.57592,35.4021131992,47.3171091142
1,FALSE,key_pressed,16777248,1464638100.7537,0,46.3054764563
1,FALSE,key_pressed,69,1464638101.08175,0,45.8905377769
1,FALSE,key_pressed,82,1464638101.28174,0,45.9672106598
1,FALSE,key_pressed,83,1464638101.4182,0,46.1222352868
1,FALSE,key_pressed,84,1464638101.57076,0,46.25603491
1,FALSE,key_pressed,69,1464638101.65046,0,46.4796478315
1,FALSE,key_pressed,0,1464638101.85848,0,46.5419985111
1,FALSE,word finished,Erste,1464638101.08186,0.7779340744,46.8613383303
1,FALSE,key_pressed,16777248,1464638102.01943,0,46.6620975057
